,Rank,Artist,Album,Total,Daily
230,231,BTS,Love Yourself 轉 'Tear',2051936126,1431415
231,232,Trolls,TROLLS (Original Motion Picture Soundtrack),2050060304,699285
232,233,Fetty Wap,Fetty Wap,2046122869,559512
233,234,Calum Scott,Only Human (Special Edition),2038739788,1172525
234,235,Flo Rida,My House,2030973515,546296
235,236,Lukas Graham,Lukas Graham (Blue Album),2025465362,715526
236,237,Becky G,MALA SANTA,2023114091,635566
237,238,Maroon 5,JORDI (Deluxe),2019002316,2327135
238,239,J Balvin,OASIS,2009288395,1424828
239,240,Joji,BALLADS 1,2008160666,1370197
240,241,Fifth Harmony,7/27 (Japan Deluxe Edition),2007666785,437989
241,242,Danny Ocean,54+1,1996039569,901115
242,243,Manuel Turizo,ADN,1995372865,600017
243,244,Various Artists,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),1990567775,920876
244,245,Future,FUTURE,1990522788,612559
245,246,Maluma,F.A.M.E.,1984599665,446760
246,247,My Chemical Romance,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),1969691221,1584763
247,248,Axwell /\ Ingrosso,More Than You Know,1967935000,628500
248,249,Khalid,Suncity,1964539315,776789
249,250,Jason Derulo,Tattoos (Deluxe Edition),1964105710,594225
250,251,Billie Eilish,Happier Than Ever,1963146579,5840491
251,252,Various Artists,Fifty Shades Darker (Original Motion Picture Soundtrack),1961075995,722666
252,253,Halsey,hopeless fountain kingdom,1957337645,701571
253,254,Jason Mraz,We Sing. We Dance. We Steal Things. (Deluxe Edition),1948636699,868720
254,255,Twenty One Pilots,Vessel,1946954936,536837
255,256,Beyoncé,4,1945316772,629233
256,257,Panic! At The Disco,Death of a Bachelor,1942955319,756668
257,258,System Of A Down,Toxicity,1941760508,1058967
258,259,John Legend,Love In The Future (Expanded Edition),1940838823,882233
259,260,Jonas Brothers,Happiness Begins,1935092661,742248
260,261,Demi Lovato,Tell Me You Love Me (Deluxe),1925898092,472120
261,262,Miley Cyrus,Bangerz (Deluxe Version),1925809301,746623
262,263,Robin Schulz,Prayer,1925710401,624014
263,264,MEDUZA,Introducing MEDUZA,1921800003,1270159
264,265,Passenger,All the Little Lights (Deluxe Version),1920978840,728674
265,266,Selena Gomez,Rare (Deluxe),1896145336,931177
266,267,Nicki Minaj,Queen,1883881461,546053
267,268,The Beatles,Abbey Road (Remastered),1881396917,1112440
268,269,2Pac,All Eyez On Me,1881315409,1023579
269,270,Pop Smoke,Meet The Woo 2 (Deluxe),1876181941,2138900
270,271,Pink Floyd,The Wall (Remastered),1874517595,1065016
271,272,Russ,There's Really A Wolf,1869411738,575458
272,273,Red Hot Chili Peppers,Stadium Arcadium,1862775729,897349
273,274,Coldplay,Ghost Stories,1860502757,620677
274,275,Foster The People,Torches,1854664065,881873
275,276,Kings of Leon,Only By The Night,1849898503,947401
276,277,Fall Out Boy,American Beauty/American Psycho,1842842315,735372
277,278,Lil Baby,My Turn (Deluxe),1836904130,1446411
278,279,Young Thug,So Much Fun (Deluxe),1832768043,799841
279,280,Alec Benjamin,Narrated For You,1830336807,1665851
280,281,Drake,Dark Lane Demo Tapes,1822444259,1093577
281,282,Lorde,Melodrama,1822157238,827927
282,283,BLACKPINK,THE ALBUM,1812979076,1800331
283,284,The Chainsmokers,Sick Boy,1811835464,444001
284,285,The Chainsmokers,World War Joy,1808125676,682620
285,286,Bastille,Bad Blood (The Extended Cut),1806779430,748000
286,287,Polo G,THE GOAT,1806223923,1949269
287,288,Bon Jovi,Slippery When Wet,1805235595,1207280
288,289,Jack Johnson,In Between Dreams,1802280771,839580
289,290,Morgan Wallen,Dangerous: The Double Album (Bonus),1801640874,3145614
290,291,Camilo,Por Primera Vez,1799692716,1094403
291,292,Lady Gaga,Chromatica,1799228205,1056579
292,293,Adele,19,1797822354,1767763
293,294,Coldplay,Parachutes,1791138623,1584361
294,295,The Lumineers,The Lumineers (Deluxe Edition),1790368714,672342
295,296,BTS,MAP OF THE SOUL : PERSONA,1789170197,1231024
296,297,Maluma,PAPI JUANCHO,1786706697,1461318
297,298,Chris Brown,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,1785434367,410185
298,299,Jess Glynne,Always in Between (Deluxe),1781169388,544589
299,300,J Balvin,Energía,1773429827,384786
300,301,Rae Sremmurd,SremmLife,1772611003,939206
301,302,The Weeknd,"My Dear Melancholy,",1767454499,851836
302,303,G-Eazy,The Beautiful & Damned (Deluxe Edition),1759662703,460343
303,304,NF,The Search,1759062805,1358835
304,305,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),1757659340,1918734
305,306,Justin Bieber,My Worlds (Oz Version),1756682874,1285261
306,307,Various Artists,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),1755295342,1096140
