,Rank,Artist,Album,Total,Daily
73,74,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,3474427120,2487999
74,75,Shawn Mendes,Handwritten (Deluxe),3471198487,-69444955
75,76,The Chainsmokers,Memories...Do Not Open,3432817382,1067459
76,77,One Direction,Made In The A.M. (Deluxe Edition),3394118179,1507806
77,78,J. Cole,2014 Forest Hills Drive,3379622086,1655577
78,79,Halsey,Manic,3333266829,1615003
79,80,Major Lazer,Peace Is The Mission (Extended),3314742434,677796
80,81,Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),3276896685,1597006
81,82,Taylor Swift,reputation (Big Machine Radio Release Special),3275087007,2087351
82,83,Lady Gaga,The Fame Monster (France Virgin Version),3264599220,2175490
83,84,Camila Cabello,Camila,3264344052,845585
84,85,Juice WRLD,Death Race For Love,3233842072,2154940
85,86,Bruno Mars,Unorthodox Jukebox (Deluxe Edition),3231635152,1856310
86,87,Kygo,Cloud Nine,3175057071,715699
87,88,Kanye West,The Life Of Pablo,3173174164,1316466
88,89,Drake,Take Care (Deluxe),3164518824,1130599
89,90,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,3163789018,4542272
90,91,Tones And I,Welcome To The Madhouse (Deluxe),3152655969,1755677
91,92,David Guetta,Nothing but the Beat (Ultimate Edition),3117677678,1451217
92,93,Taylor Swift,1989 (Deluxe),3113442176,3238221
93,94,Calvin Harris,Motion,3105990425,1091603
94,95,Ava Max,Heaven & Hell,3101014917,2090057
95,96,Macklemore,The Heist (Deluxe Edition),3072033616,1334555
96,97,James Arthur,Back from the Edge,3066558247,1548926
97,98,Ed Sheeran,+,3055548877,1059219
98,99,Kendrick Lamar,Black Panther The Album Music From And Inspired By,3010736189,1038126
99,100,Nirvana,Nevermind (Super Deluxe Edition),2994139715,2352601
100,101,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2993970006,1520671
101,102,Lil Nas X,7 EP,2992046200,1202232
102,103,Linkin Park,Hybrid Theory (20th Anniversary Edition),2986614978,1787773
103,104,Drake,Nothing Was The Same (Deluxe),2934208100,904239
104,105,David Guetta,7,2918248270,729595
105,106,Various Artists,Fifty Shades Of Grey (Original Motion Picture Soundtrack),2912665541,1249384
106,107,Ozuna,Odisea,2908236830,864256
107,108,Maroon 5,Overexposed Track By Track,2901912872,1726234
108,109,Lauv,I met you when I was 18. (the playlist),2901802446,1032332
109,110,Eminem,Recovery (Deluxe Edition),2900084951,1222279
110,111,Paulo Londra,Homerun,2884886149,1942434
111,112,Fleetwood Mac,Rumours (Super Deluxe),2882615041,2086700
112,113,Avicii,True (Bonus Edition),2878265504,1278734
113,114,Ellie Goulding,Delirium (Deluxe),2869568964,884899
114,115,Eminem,The Marshall Mathers LP2 (Deluxe),2867640396,821307
115,116,Calvin Harris,18 Months,2853787355,1209532
116,117,Ariana Grande,Positions (Deluxe),2851636942,3556210
117,118,Avicii,Stories,2849274547,1486667
118,119,David Guetta,Listen Again,2840116833,730725
119,120,KAROL G,KG0516,2829740169,3017877
120,121,Lorde,Pure Heroine (Extended),2810902541,1295990
121,122,Melanie Martinez,Cry Baby (Deluxe Edition),2773225010,2289321
122,123,Rita Ora,Phoenix (Deluxe Edition),2764388385,561600
123,124,benny blanco,FRIENDS KEEP SECRETS 2,2754855639,1468334
124,125,Guns N' Roses,Appetite For Destruction,2745126667,1609227
125,126,Anuel AA,Emmanuel,2716684539,1259814
126,127,Rihanna,Good Girl Gone Bad,2702830067,1797259
127,128,Various Artists,Vaiana (English Version/Original Motion Picture Soundtrack/Deluxe Edition),2699139854,1203876
128,129,Felix Jaehn,I,2696314744,663512
