Rank,Artist,Album,Total,EAS
470,Don Toliver,Heaven Or Hell,1341049156,1338890
471,Lost Frequencies,Less is More,1340089066,1337931
472,Kanye West,Late Registration,1339210657,1337054
473,John Mayer,Continuum,1337090087,1334937
474,Lil Wayne,Tha Carter V (Deluxe),1332654351,1330508
475,Chris Brown,X (Expanded Edition),1332098619,1329954
476,Lana Del Rey,Lust For Life,1329417594,1327277
477,Maroon 5,Hands All Over (Revised International Deluxe),1328385519,1326246
478,The Neighbourhood,Wiped Out!,1325308305,1323174
479,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,1319798710,1317673
480,Romeo Santos,Golden,1319458521,1317334
481,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1318148467,1316026
482,Evanescence,Fallen,1314645457,1312528
483,Train,"Save Me, San Francisco (Golden Gate Edition)",1313865714,1311750
484,Fall Out Boy,Save Rock And Roll,1311679246,1309567
485,blackbear,everything means nothing,1310880161,1308769
486,Nicki Minaj,Pink Friday (Complete Edition),1307541923,1305436
487,Rauw Alejandro,VICE VERSA,1307375297,1305270
488,Pearl Jam,Ten,1307164909,1305060
489,Galantis,The Aviary,1303824254,1301725
490,Lil Uzi Vert,Lil Uzi Vert vs. The World,1303269555,1301171
491,Disclosure,ENERGY (Special Edition),1300823163,1298728
492,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1300007439,1297914
493,Maluma,"Pretty Boy, Dirty Boy",1299157116,1297065
494,Avicii,TIM,1296783731,1294696
495,6ix9ine,Day69: Graduation Day,1294510872,1292426
496,Glass Animals,Dreamland (+ Bonus Levels),1291089540,1289010
497,Lady Gaga,Joanne (Deluxe),1288091537,1286017
498,The Beatles,The Beatles,1286933440,1284861
499,Skillet,Vital Signs,1286588132,1284516
500,Ben Howard,Every Kingdom,1283507376,1281441
