Rank,Artist,Album,Total,EAS
93,Taylor Swift,1989 (Deluxe),3119827651,3114804
94,Calvin Harris,Motion,3107947613,3102943
95,Ava Max,Heaven & Hell,3104819828,3099820
96,Macklemore,The Heist (Deluxe Edition),3074365143,3069414
97,James Arthur,Back from the Edge,3069757382,3064814
98,Ed Sheeran,+,3057688293,3052764
99,Kendrick Lamar,Black Panther The Album Music From And Inspired By,3012764968,3007913
100,Nirvana,Nevermind (Super Deluxe Edition),2998492152,2993664
101,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2996913609,2992088
102,Lil Nas X,7 EP,2994164422,2989343
103,Linkin Park,Hybrid Theory (20th Anniversary Edition),2990125656,2985311
104,Drake,Nothing Was The Same (Deluxe),2935945719,2931218
105,David Guetta,7,2919563411,2914862
106,Various Artists,Fifty Shades Of Grey (Original Motion Picture Soundtrack),2915072400,2910378
107,Ozuna,Odisea,2909738992,2905053
108,Maroon 5,Overexposed Track By Track,2905099594,2900421
109,Lauv,I met you when I was 18. (the playlist),2903909571,2899233
110,Eminem,Recovery (Deluxe Edition),2902451738,2897778
111,Paulo Londra,Homerun,2888411876,2883761
112,Fleetwood Mac,Rumours (Super Deluxe),2886309517,2881662
113,Avicii,True (Bonus Edition),2880574840,2875936
114,Ellie Goulding,Delirium (Deluxe),2871256201,2866633
115,Eminem,The Marshall Mathers LP2 (Deluxe),2869205015,2864585
116,Ariana Grande,Positions (Deluxe),2858499030,2853896
117,Calvin Harris,18 Months,2855901026,2851302
118,Avicii,Stories,2852010918,2847418
119,David Guetta,Listen Again,2841449573,2836874
120,KAROL G,KG0516,2834902846,2830338
121,Lorde,Pure Heroine (Extended),2813529851,2808999
122,Melanie Martinez,Cry Baby (Deluxe Edition),2777809745,2773337
123,Rita Ora,Phoenix (Deluxe Edition),2765442027,2760989
124,benny blanco,FRIENDS KEEP SECRETS 2,2757743089,2753302
125,Guns N' Roses,Appetite For Destruction,2747915415,2743490
126,Anuel AA,Emmanuel,2718876224,2714498
127,Rihanna,Good Girl Gone Bad,2706006764,2701649
128,Various Artists,Vaiana (English Version/Original Motion Picture Soundtrack/Deluxe Edition),2701346385,2696996
129,Felix Jaehn,I,2697470783,2693127
130,One Direction,Midnight Memories (Deluxe),2685320783,2680997
131,Harry Styles,Harry Styles,2667801457,2663505
132,DJ Snake,Encore,2659940230,2655657
133,Frank Ocean,Blonde,2647693774,2643430
134,Migos,Culture II,2645430512,2641171
135,Sam Smith,The Thrill Of It All (Special Edition),2640568584,2636316
136,Lizzo,Cuz I Love You (Super Deluxe),2639471394,2635221
137,Sebastian Yatra,MANTRA,2617002045,2612788
138,Michael Jackson,Thriller 25 Super Deluxe Edition,2615336737,2611125
139,Roddy Ricch,Please Excuse Me for Being Antisocial,2610481141,2606277
140,Drake,If You're Reading This It's Too Late,2600392346,2596205
141,Selena Gomez,Revival (Deluxe),2592082036,2587908
142,Doja Cat,Planet Her (Deluxe),2579004652,2574852
143,Dr. Dre,2001,2575097486,2570951
144,Beyoncé,I AM...SASHA FIERCE - Platinum Edition,2562758129,2558631
145,One Direction,FOUR (Deluxe),2558185955,2554066
146,Vance Joy,Dream Your Life Away (Deluxe Edition),2551122071,2547014
147,Meghan Trainor,Title,2537734375,2533648
148,Katy Perry,PRISM (Deluxe),2535483185,2531400
149,Sia,1000 Forms Of Fear (Deluxe Version),2533800699,2529721
150,Liam Payne,LP1,2531420569,2527344
151,Oasis,"(What's The Story) Morning Glory? (Remastered, Deluxe)",2530733001,2526658
152,Kanye West,Graduation (Alternative Business Partners),2528372423,2524301
153,Beyoncé,BEYONCÉ [Platinum Edition],2521820044,2517759
154,ZAYN,Icarus Falls,2509354099,2505313
155,6ix9ine,DUMMY BOY,2499874341,2495849
156,J Balvin,Vibras,2499731655,2495706
157,NF,Perception,2493256863,2489242
158,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2490557339,2486547
159,Bryson Tiller,T R A P S O U L (Deluxe),2484029120,2480029
160,Eminem,Kamikaze,2472008728,2468028
161,Lauv,~how i'm feeling~,2463321179,2459354
162,Swedish House Mafia,Until Now,2450256180,2446311
163,Charlie Puth,Voicenotes,2442409683,2438477
164,Red Hot Chili Peppers,Californication (Deluxe Edition),2440625100,2436695
165,Luke Combs,This One's for You Too (Deluxe Edition),2440144541,2436215
166,Imagine Dragons,Smoke + Mirrors (Deluxe),2438758102,2434831
167,Doja Cat,Hot Pink,2437916544,2433991
168,Coldplay,A Head Full of Dreams,2430859102,2426945
169,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2429846592,2425934
170,Nicki Minaj,The Pinkprint (Deluxe Edition),2423445896,2419543
171,Nicky Jam,Fénix,2421981786,2418082
172,Amy Winehouse,Back To Black (Deluxe Edition),2409815713,2405935
173,Shakira,El Dorado,2409773318,2405893
174,Migos,Culture,2401795756,2397928
175,Michael Bublé,Christmas (Deluxe Special Edition),2389042921,2385196
176,Imagine Dragons,Origins (Deluxe),2387942081,2384097
177,DJ Snake,Carte Blanche (Deluxe),2368494904,2364681
178,Rihanna,Unapologetic (Deluxe),2363903242,2360097
179,Metallica,Metallica (Remastered Deluxe Box Set),2351371943,2347586
180,Justin Bieber,Changes,2351082440,2347296
181,Queen,A Night At The Opera (Deluxe Edition 2011 Remaster),2338673204,2334907
